feature1,feature2,label
-2.503285846988767,-3.138264301171185,1
-2.3523114618993075,-1.4769701435919746,1
-3.234153374723336,-3.2341369569491807,1
-1.4207871844926085,-2.232565270847091,1
-3.469474385934952,-2.4574399564140355,1
-3.4634176928124623,-3.465729753570257,1
-2.758037728433966,-4.913280244657798,1
-4.724917832513032,-3.562287529240973,1
-4.012831120334424,-2.685752667404726,1
-3.9080240755212112,-4.412303701335292,1
-1.534351231078446,-3.225776300486536,1
-2.9324717953120762,-4.424748186213456,1
-3.5443827245251827,-2.8890774102901338,1
-4.150993577422303,-2.624301981654328,1
-3.6006386899188048,-3.291693749793277,1
-3.601706612229397,-1.1477218154910622,1
-3.013497224737934,-4.0577109289559,1
-2.177455087896811,-4.220843649971022,1
-2.7911364049952447,-4.959670123879776,1
-4.328186048898431,-2.8031387641308765,1
-2.2615334200045893,-2.8286317188100294,1
-3.1156482823882405,-3.3011036955892887,1
-4.478521990367428,-3.7198442083947088,1
-3.4606387709597874,-1.9428777737810843,1
-2.6563817104315386,-4.763040155362734,1
-2.675916030605205,-3.3850822804163165,1
-3.6769220003059586,-2.3883237111591322,1
-1.969000477504049,-2.068719880883801,1
-3.8392175232226387,-3.3092123758512146,1
-2.668736568596436,-2.024454872877641,1
-3.47917423784529,-3.185658976663817,1
-4.106334974006028,-4.196206624080671,1
-2.187474177605802,-1.643759971429177,1
-3.072010121580334,-1.9964671021079758,1
-2.638363974952366,-3.6451197546051244,1
-2.638604394491586,-1.4619634335340308,1
-3.0358260391099514,-1.435356344185994,1
-5.619745104089745,-2.178097495624776,1
-2.912952931761829,-3.299007350465868,1
-2.9082392234644976,-4.987568914600892,1
-3.219671887837512,-2.6428874284882538,1
-1.522105955258484,-3.5182702182736474,1
-3.8084936028931877,-3.5017570435845364,1
-2.084597882297926,-2.6712488903403155,1
-3.529760203767039,-2.486732566886644,1
-2.9029224506519595,-2.0313550094671107,1
-3.7020530938773524,-3.3276621465977683,1
-3.3921081531321575,-4.463514948132119,1
-2.703879722935424,-2.738944727820111,1
-2.994886543357539,-3.2345871333751472,1
-4.415370742050414,-3.420645322765359,1
-3.3427145165267693,-3.802277269221619,1
-3.161285711666009,-2.5959491431854618,1
-1.1138140987894698,-2.825422187168161,1
-2.742449609277236,-3.074445915766167,1
-4.918771215299041,-3.0265138754492167,1
-2.9397697900589734,-0.5367578875147139,1
-3.1923609647811224,-2.6984526576663876,1
-3.0347117697052433,-4.168678037619532,1
-1.8571771854849795,-2.2480669673132256,1
-2.208968052956953,-3.909387454794739,1
-1.5972056890639008,-4.4018510627922804,1
-2.4131429061997296,-0.8095443741900215,1
-3.9905363251306882,-3.566297729602772,1
-2.900348634912359,-3.5034756541161993,1
-4.550663431066132,-2.9314370251939725,1
-4.062303713726105,-2.5264075693648183,1
-3.9194242342338033,-1.4500655949824601,1
-3.783253292336237,-3.3220615162056757,1
-2.18648278263033,-4.230864316433955,1
-2.7725400653958707,-1.692857245717572,1
-4.6074832345612275,-2.815366141467696,1
-2.7401172057515764,-2.21817712822269,1
-4.236950710878082,-4.320456613084277,1
-2.4780584343831022,-2.7030153267668138,1
-2.7495071496541232,-2.653551790503024,1
-3.6800247215784907,-2.7677463028389964,1
-2.706927526701319,-3.714351418026368,1
-1.1342254888552434,-2.5261670790882125,1
-4.191303497202648,-2.3434463913661703,1
-3.9746816702273216,-2.212915396257548,1
-1.841404420992596,-3.8206823183517105,1
-2.0366238707556783,-2.5872190730635016,1
-2.17793984000551,-1.1032070173460526,1
-3.2453881160028706,-3.7537361643574894,1
-3.8895144296255233,-3.8158102849654383,1
-3.077101709414104,-2.6588480251833566,1
-2.723309200669981,-2.1728167509639764,1
-2.986998108122093,-1.5464659228426831,1
-3.264656833237956,-0.2798308334103812,1
-2.374332652234994,-3.8571575564162828,1
-4.070892498061112,-2.517527584756815,1
-3.223462785325851,-2.285999505907908,1
-2.526762375426455,-3.0728289126568726,1
-3.846793718068405,-4.514847224685864,1
-3.4465149520670213,-2.1436012056765277,1
-2.7859062558697962,-4.2457387787119885,1
-2.826819074148818,-2.614682620271163,1
-3.883857436201133,-2.846274894054472,1
-2.941791281554,-4.142970297830623,1
3.3577873603482833,3.5607845263682343,0
4.083051243175277,4.053802052034903,0
